source,target,relationship
n1,n3,parent
n2,n3,parent
n1,n4,parent
n2,n4,parent
n1,n5,parent
n2,n5,parent
n1,n6,parent
n2,n6,parent
n1,n7,parent
n2,n7,parent
n1,n8,parent
n2,n8,parent
n1,n9,parent
n2,n9,parent
n1,n10,parent
n2,n10,parent
n1,n11,parent
n2,n11,parent
n1,n2,married
n5,n12,parent
n12,n14,parent
n13,n14,parent
n12,n15,parent
n13,n15,parent
n12,n16,parent
n13,n16,parent
n12,n17,parent
n13,n17,parent
n12,n18,parent
n13,n18,parent
n12,n13,married
n19,n18,spiritual healer
n19,n12,advisor
